"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","HM00108598","HM00110618","L2074","YA00082404","egd-e"
"group_40","","hypothetical protein","5","5","1","1","1738","","","","140","965","330","HM00108598_01223","HM00110618_02992","HL2074_00814","YA00082404_03104","EGD-e_01145"
"group_400","","hypothetical protein","5","5","1","1","683","","","","704","704","704","HM00108598_01281","HM00110618_02561","HL2074_01176","YA00082404_01677","EGD-e_00763"
"group_401","ytrB_3","ABC transporter ATP-binding protein YtrB","5","5","1","1","684","","","","689","689","689","HM00108598_01282","HM00110618_02562","HL2074_01177","YA00082404_01678","EGD-e_00762"
"group_402","","hypothetical protein","5","5","1","1","686","","","","521","659","631","HM00108598_01284","HM00110618_02564","HL2074_01179","YA00082404_02012","EGD-e_00760"
"ribF_1","","Riboflavin biosynthesis protein RibF","5","5","1","1","692","","","","740","740","740","HM00108598_01290","HM00110618_01449","HL2074_01191","YA00082404_02018","EGD-e_00748"
"glmS_2","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","5","5","1","1","693","","","","1805","1805","1805","HM00108598_01291","HM00110618_01448","HL2074_01192","YA00082404_02019","EGD-e_00747"
"group_405","","hypothetical protein","5","5","1","1","696","","","","728","728","728","HM00108598_01293","HM00110618_01446","HL2074_01195","YA00082404_02021","EGD-e_00744"
"ydaP","","Putative thiamine pyrophosphate-containing protein YdaP","5","5","1","1","698","","","","1730","1730","1730","HM00108598_01295","HM00110618_01444","HL2074_01197","YA00082404_02023","EGD-e_00742"
"group_407","","hypothetical protein","5","5","1","1","699","","","","647","647","647","HM00108598_01296","HM00110618_01443","HL2074_01198","YA00082404_02024","EGD-e_00741"
"group_408","","hypothetical protein","5","5","1","1","702","","","","644","644","644","HM00108598_01299","HM00110618_01440","HL2074_01201","YA00082404_02027","EGD-e_00738"
"mltC","","Membrane-bound lytic murein transglycosylase C","5","5","1","1","703","","","","668","668","668","HM00108598_01300","HM00110618_01439","HL2074_01202","YA00082404_02028","EGD-e_00737"
"group_410","","hypothetical protein","5","5","1","1","705","","","","692","692","692","HM00108598_01302","HM00110618_01437","HL2074_01204","YA00082404_02030","EGD-e_00735"
"group_411","","hypothetical protein","5","5","1","1","711","","","","281","281","281","HM00108598_01308","HM00110618_01431","HL2074_01210","YA00082404_02036","EGD-e_00729"
"group_412","","hypothetical protein","5","5","1","1","716","","","","428","428","428","HM00108598_01313","HM00110618_01426","HL2074_01215","YA00082404_02041","EGD-e_00724"
"group_413","","hypothetical protein","5","5","1","1","720","","","","1547","1547","1547","HM00108598_01317","HM00110618_01422","HL2074_01219","YA00082404_02045","EGD-e_00720"
"group_414","","hypothetical protein","5","5","1","1","727","","","","410","410","410","HM00108598_01323","HM00110618_01416","HL2074_01225","YA00082404_02051","EGD-e_00714"
"group_415","","hypothetical protein","5","5","1","1","743","","","","641","761","713","HM00108598_01339","HM00110618_01400","HL2074_01241","YA00082404_02067","EGD-e_00698"
"group_416","","hypothetical protein","5","5","1","1","746","","","","302","314","309","HM00108598_01342","HM00110618_01397","HL2074_01244","YA00082404_02070","EGD-e_00695"
"group_417","","hypothetical protein","5","5","1","1","757","","","","377","377","377","HM00108598_01352","HM00110618_01842","HL2074_01254","YA00082404_02994","EGD-e_00685"
"group_418","","hypothetical protein","5","5","1","1","758","","","","263","263","263","HM00108598_01353","HM00110618_01841","HL2074_01255","YA00082404_02993","EGD-e_00684"
"divIB","","Cell division protein DivIB","5","5","1","1","134","","","","812","812","812","HM00108598_01368","HM00110618_00401","HL2074_02047","YA00082404_01899","EGD-e_02092"
"murE","","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","5","5","1","1","130","","","","1475","1475","1475","HM00108598_01372","HM00110618_00397","HL2074_02051","YA00082404_01903","EGD-e_02096"
"mraZ","","Transcriptional regulator MraZ","5","5","1","1","126","","","","380","431","410","HM00108598_01376","HM00110618_00393","HL2074_02055","YA00082404_01907","EGD-e_02100"
"mdtH_1","","Multidrug resistance protein MdtH","5","5","1","1","125","","","","1247","1247","1247","HM00108598_01377","HM00110618_00392","HL2074_02056","YA00082404_01908","EGD-e_02101"
"sgrR","","HTH-type transcriptional regulator SgrR","5","5","1","1","124","","","","1814","1814","1814","HM00108598_01378","HM00110618_00391","HL2074_02057","YA00082404_01909","EGD-e_02102"
"panE","","putative 2-dehydropantoate 2-reductase","5","5","1","1","122","","","","893","893","893","HM00108598_01380","HM00110618_00389","HL2074_02059","YA00082404_01911","EGD-e_02104"
"group_425","","hypothetical protein","5","5","1","1","120","","","","536","536","536","HM00108598_01382","HM00110618_00387","HL2074_02061","YA00082404_01913","EGD-e_02106"
"ylbL","","putative protein YlbL","5","5","1","1","116","","","","1040","1040","1040","HM00108598_01385","HM00110618_00384","HL2074_02064","YA00082404_01916","EGD-e_02109"
"rsmD","","Ribosomal RNA small subunit methyltransferase D","5","5","1","1","114","","","","557","557","557","HM00108598_01387","HM00110618_00382","HL2074_02066","YA00082404_01918","EGD-e_02111"
"group_428","","hypothetical protein","5","5","1","1","108","","","","743","743","743","HM00108598_01393","HM00110618_00376","HL2074_02072","YA00082404_01924","EGD-e_02117"
"yiiM","","Protein YiiM","5","5","1","1","107","","","","641","641","641","HM00108598_01394","HM00110618_00375","HL2074_02073","YA00082404_01925","EGD-e_02118"
"ycnI","","putative protein YcnI","5","5","1","1","106","","","","617","617","617","HM00108598_01395","HM00110618_00374","HL2074_02074","YA00082404_01926","EGD-e_02119"
"ycnJ","","Copper transport protein YcnJ","5","5","1","1","105","","","","1625","1625","1625","HM00108598_01396","HM00110618_00373","HL2074_02075","YA00082404_01927","EGD-e_02120"
"group_432","","hypothetical protein","5","5","1","1","101","","","","209","299","227","HM00108598_01400","HM00110618_00369","HL2074_02079","YA00082404_01931","EGD-e_02124"
"cbh","","Choloylglycine hydrolase","5","5","1","1","100","","","","977","1010","996","HM00108598_01401","HM00110618_00368","HL2074_02080","YA00082404_01932","EGD-e_02125"
"group_434","","hypothetical protein","5","5","1","1","95","","","","197","203","199","HM00108598_01405","HM00110618_00364","HL2074_02084","YA00082404_01936","EGD-e_02129"
"group_435","","hypothetical protein","5","5","1","1","92","","","","959","959","959","HM00108598_01408","HM00110618_00361","HL2074_02087","YA00082404_01939","EGD-e_02132"
"tsaB","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaB","5","5","1","1","89","","","","692","692","692","HM00108598_01411","HM00110618_00358","HL2074_02090","YA00082404_01942","EGD-e_02135"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","5","5","1","1","88","","","","461","461","461","HM00108598_01412","HM00110618_00357","HL2074_02091","YA00082404_01943","EGD-e_02136"
"group_438","","hypothetical protein","5","5","1","1","87","","","","1142","1142","1142","HM00108598_01413","HM00110618_00356","HL2074_02092","YA00082404_01944","EGD-e_02137"
"group_439","","hypothetical protein","5","5","1","1","86","","","","380","380","380","HM00108598_01414","HM00110618_00355","HL2074_02093","YA00082404_01945","EGD-e_02138"
"group_44","","Pyridoxal phosphate homeostasis protein","5","5","1","1","137","","","","689","689","689","HM00108598_01365","HM00110618_00404","HL2074_02044","YA00082404_01896","EGD-e_02089"
"crcB_2","","Putative fluoride ion transporter CrcB","5","5","1","1","84","","","","389","389","389","HM00108598_01416","HM00110618_00353","HL2074_02095","YA00082404_01947","EGD-e_02140"
"group_441","","hypothetical protein","5","5","1","1","3093","","","","626","626","626","HM00108598_01417","HM00110618_00352","HL2074_02096","YA00082404_01948","EGD-e_02141"
"group_442","","hypothetical protein","5","5","1","1","3098","","","","1271","1271","1271","HM00108598_01421","HM00110618_00348","HL2074_02100","YA00082404_01952","EGD-e_02145"
"argH","","Argininosuccinate lyase","5","5","1","1","3103","","","","1370","1370","1370","HM00108598_01426","HM00110618_00343","HL2074_02105","YA00082404_02152","EGD-e_02150"
"group_444","gatA_2","PTS system galactitol-specific EIIA component","5","5","1","1","3110","","","","467","467","467","HM00108598_01433","HM00110618_00336","HL2074_02112","YA00082404_02145","EGD-e_02157"
"feoB","","Fe(2+) transporter FeoB","5","5","1","1","3120","","","","1994","1994","1994","HM00108598_01440","HM00110618_00329","HL2074_02121","YA00082404_02138","EGD-e_02164"
"group_447","","hypothetical protein","5","5","1","1","3121","","","","173","173","173","HM00108598_01441","HM00110618_00328","HL2074_02122","YA00082404_02137","EGD-e_02165"
"yvyI","","Putative mannose-6-phosphate isomerase YvyI","5","5","1","1","3128","","","","956","956","956","HM00108598_01446","HM00110618_00323","HL2074_02127","YA00082404_02132","EGD-e_02170"
"group_449","","hypothetical protein","5","5","1","1","3134","","","","824","833","831","HM00108598_01452","HM00110618_00317","HL2074_02133","YA00082404_02126","EGD-e_02176"
"crcB_1","","Putative fluoride ion transporter CrcB","5","5","1","1","85","","","","356","356","356","HM00108598_01415","HM00110618_00354","HL2074_02094","YA00082404_01946","EGD-e_02139"
"group_450","","hypothetical protein","5","5","1","1","3141","","","","833","833","833","HM00108598_01459","HM00110618_00310","HL2074_02139","YA00082404_02119","EGD-e_02182"
"bbmA","","Intracellular maltogenic amylase","5","5","1","1","3145","","","","1775","1775","1775","HM00108598_01463","HM00110618_00306","HL2074_02143","YA00082404_02115","EGD-e_02186"
"group_452","","hypothetical protein","5","5","1","1","3148","","","","236","236","236","HM00108598_01466","HM00110618_00303","HL2074_02146","YA00082404_02112","EGD-e_02189"
"licR_5","","putative licABCH operon regulator","5","5","1","1","1179","","","","1871","1871","1871","HM00108598_01478","HM00110618_02871","HL2074_01602","YA00082404_02556","EGD-e_00309"
"nfrA1_2","","FMN reductase (NADPH)","5","5","1","1","1181","","","","737","737","737","HM00108598_01480","HM00110618_02869","HL2074_01604","YA00082404_02554","EGD-e_00307"
"gltR_2","","HTH-type transcriptional regulator GltR","5","5","1","1","1182","","","","848","863","860","HM00108598_01481","HM00110618_02862","HL2074_01605","YA00082404_02553","EGD-e_00306"
"bacF","","Transaminase BacF","5","5","1","1","1193","","","","1181","1181","1181","HM00108598_01489","HM00110618_01002","HL2074_01616","YA00082404_02545","EGD-e_00298"
"group_459","","hypothetical protein","5","5","1","1","1214","","","","1886","1886","1886","HM00108598_01507","HM00110618_01020","HL2074_01634","YA00082404_02303","EGD-e_00281"
"pspA","","Phosphoserine phosphatase 1","5","5","1","1","1215","","","","635","635","635","HM00108598_01508","HM00110618_01021","HL2074_01635","YA00082404_02304","EGD-e_00280"
"gph_1","","Phosphoglycolate phosphatase","5","5","1","1","1224","","","","545","545","545","HM00108598_01517","HM00110618_01030","HL2074_01644","YA00082404_02313","EGD-e_00272"
"rsmC","","Ribosomal RNA small subunit methyltransferase C","5","5","1","1","1231","","","","605","605","605","HM00108598_01527","HM00110618_01040","HL2074_01648","YA00082404_02884","EGD-e_00268"
"ispF","","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","5","5","1","1","1251","","","","473","473","473","HM00108598_01542","HM00110618_01055","HL2074_01667","YA00082404_02869","EGD-e_00249"
"ispD","","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","5","5","1","1","1252","","","","698","704","700","HM00108598_01543","HM00110618_01056","HL2074_01668","YA00082404_02868","EGD-e_00248"
"mcsA","","Protein-arginine kinase activator protein","5","5","1","1","1257","","","","518","518","518","HM00108598_01548","HM00110618_01061","HL2074_01673","YA00082404_03058","EGD-e_00243"
"group_468","","hypothetical protein","5","5","1","1","3708","","","","680","680","680","HM00108598_01560","HM00110618_01497","HL2074_00152","YA00082404_01070","EGD-e_00154"
"group_469","","hypothetical protein","5","5","1","1","3709","","","","2339","2339","2339","HM00108598_01561","HM00110618_01498","HL2074_00153","YA00082404_01071","EGD-e_00155"
"group_47","","hypothetical protein","5","5","1","1","1207","","","","503","503","503","HM00108598_01502","HM00110618_01015","HL2074_01629","YA00082404_02298","EGD-e_00285"
"rsbRD_2","","RsbT co-antagonist protein RsbRD","5","5","1","1","3715","","","","830","836","833","HM00108598_01565","HM00110618_01502","HL2074_00157","YA00082404_01075","EGD-e_00159"
"yfiC","","tRNA1(Val) (adenine(37)-N6)-methyltransferase","5","5","1","1","3719","","","","773","773","773","HM00108598_01569","HM00110618_01506","HL2074_00161","YA00082404_01079","EGD-e_00163"
"group_472","","hypothetical protein","5","5","1","1","3720","","","","269","272","270","HM00108598_01570","HM00110618_01507","HL2074_00162","YA00082404_01080","EGD-e_00164"
"rsmI","","Ribosomal RNA small subunit methyltransferase I","5","5","1","1","3721","","","","881","881","881","HM00108598_01571","HM00110618_01508","HL2074_00163","YA00082404_01081","EGD-e_00165"
"abrB","","Transition state regulatory protein AbrB","5","5","1","1","3722","","","","284","284","284","HM00108598_01572","HM00110618_01509","HL2074_00164","YA00082404_01082","EGD-e_00166"
"group_475","","hypothetical protein","5","5","1","1","3727","","","","1259","1262","1260","HM00108598_01574","HM00110618_01511","HL2074_00166","YA00082404_01084","EGD-e_00168"
"group_476","","Oligosaccharide 4-alpha-D-glucosyltransferase","5","5","1","1","3737","","","","2291","2291","2291","HM00108598_01583","HM00110618_01520","HL2074_00178","YA00082404_01093","EGD-e_00181"
"rnmV","","Ribonuclease M5","5","5","1","1","3741","","","","575","575","575","HM00108598_01587","HM00110618_01524","HL2074_00182","YA00082404_01097","EGD-e_00185"
"plcA","","1-phosphatidylinositol phosphodiesterase","5","5","1","1","3755","","","","953","953","953","HM00108598_01601","HM00110618_02879","HL2074_00196","YA00082404_01111","EGD-e_00199"
"mpl","","Zinc metalloproteinase","5","5","1","1","2392","","","","1532","1532","1532","HM00108598_01603","HM00110618_02241","HL2074_00198","YA00082404_01113","EGD-e_00201"
"inlA_1","","Internalin-A","5","5","1","1","1221","","","","1646","1646","1646","HM00108598_01514","HM00110618_01027","HL2074_01641","YA00082404_02310","EGD-e_00275"
"plcB","","Phospholipase C","5","5","1","1","2390","","","","869","869","869","HM00108598_01605","HM00110618_02239","HL2074_00200","YA00082404_01115","EGD-e_00203"
"group_481","","hypothetical protein","5","5","1","1","2384","","","","674","719","701","HM00108598_01609","HM00110618_02235","HL2074_00204","YA00082404_01119","EGD-e_00207"
"folP","","Dihydropteroate synthase","5","5","1","1","2368","","","","785","785","785","HM00108598_01624","HM00110618_02220","HL2074_00219","YA00082404_01134","EGD-e_00222"
"folB","","Dihydroneopterin aldolase","5","5","1","1","2367","","","","374","374","374","HM00108598_01625","HM00110618_02219","HL2074_00220","YA00082404_01135","EGD-e_00223"
"group_484","","hypothetical protein","5","5","1","1","3154","","","","428","689","636","HM00108598_01635","HM00110618_02944","HL2074_02153","YA00082404_03070","EGD-e_02196"
"group_485","mngA_2","PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component","5","5","1","1","3160","","","","473","473","473","HM00108598_01641","HM00110618_02152","HL2074_02159","YA00082404_01224","EGD-e_02202"
"mtlR","","Transcriptional regulator MtlR","5","5","1","1","3161","","","","1457","1457","1457","HM00108598_01642","HM00110618_02153","HL2074_02160","YA00082404_01225","EGD-e_02203"
"yhaP","","putative protein YhaP","5","5","1","1","3163","","","","1235","1235","1235","HM00108598_01644","HM00110618_02155","HL2074_02162","YA00082404_01227","EGD-e_02205"
"mshD_2","","Mycothiol acetyltransferase","5","5","1","1","3164","","","","473","506","486","HM00108598_01645","HM00110618_02156","HL2074_02163","YA00082404_01228","EGD-e_02206"
"group_489","","hypothetical protein","5","5","1","1","3165","","","","665","665","665","HM00108598_01646","HM00110618_02157","HL2074_02164","YA00082404_01229","EGD-e_02207"
"rtcB","","RNA-splicing ligase RtcB","5","5","1","1","1230","","","","1178","1178","1178","HM00108598_01526","HM00110618_01039","HL2074_01647","YA00082404_02885","EGD-e_00269"
"yvoA_2","","HTH-type transcriptional repressor YvoA","5","5","1","1","3167","","","","734","734","734","HM00108598_01648","HM00110618_02159","HL2074_02166","YA00082404_01231","EGD-e_02209"
"cysL","","HTH-type transcriptional regulator CysL","5","5","1","1","3169","","","","854","854","854","HM00108598_01650","HM00110618_02161","HL2074_02168","YA00082404_01233","EGD-e_02211"
"group_492","","Flavodoxin","5","5","1","1","3176","","","","437","437","437","HM00108598_01657","HM00110618_02168","HL2074_02175","YA00082404_01240","EGD-e_02218"
"ydgJ","","putative oxidoreductase YdgJ","5","5","1","1","3182","","","","1049","1049","1049","HM00108598_01663","HM00110618_02174","HL2074_02181","YA00082404_01246","EGD-e_02224"
"iolE","","Inosose dehydratase","5","5","1","1","3185","","","","740","740","740","HM00108598_01666","HM00110618_02177","HL2074_02184","YA00082404_01249","EGD-e_02227"
"rhaR_2","","HTH-type transcriptional activator RhaR","5","5","1","1","3187","","","","878","878","878","HM00108598_01668","HM00110618_02179","HL2074_02186","YA00082404_01251","EGD-e_02229"
"group_496","","hypothetical protein","5","5","1","1","3206","","","","740","740","740","HM00108598_01686","HM00110618_02718","HL2074_02203","YA00082404_01269","EGD-e_02246"
"group_497","","hypothetical protein","5","5","1","1","3211","","","","1709","1709","1709","HM00108598_01690","HM00110618_02722","HL2074_02207","YA00082404_01273","EGD-e_02250"
"group_498","","hypothetical protein","5","5","1","1","3213","","","","260","260","260","HM00108598_01692","HM00110618_02724","HL2074_02209","YA00082404_01275","EGD-e_02252"
"pepF1_2","","Oligoendopeptidase F, plasmid","5","5","1","1","3214","","","","1805","1805","1805","HM00108598_01693","HM00110618_02725","HL2074_02210","YA00082404_01276","EGD-e_02253"
"rph_2","","rifamycin-inactivating phosphotransferase Rph","5","5","1","1","1044","","","","1592","2603","2400","HM00108598_02099","HM00110618_01971","HL2074_01495","YA00082404_01708","EGD-e_00425"
"tilS","","tRNA(Ile)-lysidine synthase","5","5","1","1","2373","","","","1946","1946","1946","HM00108598_01619","HM00110618_02225","HL2074_00214","YA00082404_01129","EGD-e_00217"
"group_500","","hypothetical protein","5","5","1","1","1986","","","","1091","1091","1091","HM00108598_01702","HM00110618_02909","HL2074_00590","YA00082404_01330","EGD-e_01368"
"group_501","","hypothetical protein","5","5","1","1","1989","","","","467","467","467","HM00108598_01704","HM00110618_01240","HL2074_00588","YA00082404_01328","EGD-e_01370"
"group_502","","hypothetical protein","5","5","1","1","1991","","","","422","428","424","HM00108598_01706","HM00110618_01238","HL2074_00586","YA00082404_01326","EGD-e_01372"
"epsF","","Type II secretion system protein F","5","5","1","1","1993","","","","1031","1031","1031","HM00108598_01708","HM00110618_01236","HL2074_00584","YA00082404_01324","EGD-e_01374"
"gcvT","","Aminomethyltransferase","5","5","1","1","1995","","","","1088","1088","1088","HM00108598_01710","HM00110618_01234","HL2074_00582","YA00082404_01322","EGD-e_01376"
"xseA","","Exodeoxyribonuclease 7 large subunit","5","5","1","1","2008","","","","1355","1355","1355","HM00108598_01723","HM00110618_01221","HL2074_00569","YA00082404_01309","EGD-e_01389"
"group_506","","Farnesyl diphosphate synthase","5","5","1","1","2010","","","","881","881","881","HM00108598_01725","HM00110618_01219","HL2074_00567","YA00082404_01307","EGD-e_01391"
"dxs_2","","1-deoxy-D-xylulose-5-phosphate synthase","5","5","1","1","2012","","","","1781","1781","1781","HM00108598_01727","HM00110618_01217","HL2074_00565","YA00082404_01305","EGD-e_01393"
"tlyA","","Hemolysin A","5","5","1","1","2013","","","","824","824","824","HM00108598_01728","HM00110618_01216","HL2074_00564","YA00082404_01304","EGD-e_01394"
"pta_1","","Phosphate acetyltransferase","5","5","1","1","2016","","","","866","866","866","HM00108598_01731","HM00110618_01213","HL2074_00561","YA00082404_01301","EGD-e_01397"
"group_51","","hypothetical protein","5","5","1","1","3155","","","","710","731","714","HM00108598_01636","HM00110618_02147","HL2074_02154","YA00082404_01219","EGD-e_02197"
"buk2","","Butyrate kinase 2","5","5","1","1","2017","","","","1067","1067","1067","HM00108598_01732","HM00110618_01212","HL2074_00560","YA00082404_01300","EGD-e_01398"
"lpd","","Dihydrolipoyl dehydrogenase","5","5","1","1","2018","","","","1427","1427","1427","HM00108598_01733","HM00110618_01211","HL2074_00559","YA00082404_01299","EGD-e_01399"
"pdhC","","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","5","5","1","1","2021","","","","1250","1250","1250","HM00108598_01736","HM00110618_01208","HL2074_00556","YA00082404_01296","EGD-e_01402"
"pepT_1","","Peptidase T","5","5","1","1","2023","","","","1094","1094","1094","HM00108598_01738","HM00110618_01206","HL2074_00554","YA00082404_01294","EGD-e_01404"
"fni","","Isopentenyl-diphosphate delta-isomerase","5","5","1","1","2031","","","","1076","1076","1076","HM00108598_01746","HM00110618_01198","HL2074_00546","YA00082404_01286","EGD-e_01412"
"spoIIIE","","DNA translocase SpoIIIE","5","5","1","1","2034","","","","2273","2273","2273","HM00108598_01749","HM00110618_01195","HL2074_00543","YA00082404_02476","EGD-e_01415"
"group_516","","hypothetical protein","5","5","1","1","2041","","","","1292","1292","1292","HM00108598_01755","HM00110618_01189","HL2074_00537","YA00082404_02470","EGD-e_01421"
"group_517","","hypothetical protein","5","5","1","1","2042","","","","1286","1286","1286","HM00108598_01756","HM00110618_01188","HL2074_00536","YA00082404_02469","EGD-e_01422"
"cinA","","Putative competence-damage inducible protein","5","5","1","1","2046","","","","1244","1244","1244","HM00108598_01760","HM00110618_01184","HL2074_00532","YA00082404_02465","EGD-e_01426"
"glpP","","Glycerol uptake operon antiterminator regulatory protein","5","5","1","1","2055","","","","548","548","548","HM00108598_01768","HM00110618_02756","HL2074_00524","YA00082404_02457","EGD-e_01434"
"group_52","","putative metallo-hydrolase","5","5","1","1","3190","","","","617","644","622","HM00108598_01671","HM00110618_02364","HL2074_02189","YA00082404_01254","EGD-e_02232"
"group_520","","hypothetical protein","5","5","1","1","2058","","","","530","530","530","HM00108598_01771","HM00110618_02759","HL2074_00521","YA00082404_02454","EGD-e_01437"
"yfmO","","Multidrug efflux protein YfmO","5","5","1","1","2059","","","","1193","1193","1193","HM00108598_01772","HM00110618_02760","HL2074_00520","YA00082404_02453","EGD-e_01438"
"group_523","","hypothetical protein","5","5","1","1","904","","","","350","350","350","HM00108598_01783","HM00110618_01155","HL2074_01381","YA00082404_00998","EGD-e_00558"
"pbpX","","Putative penicillin-binding protein PbpX","5","5","1","1","906","","","","1193","1193","1193","HM00108598_01785","HM00110618_01157","HL2074_01383","YA00082404_01000","EGD-e_00556"
"yxeP_2","","putative hydrolase YxeP","5","5","1","1","908","","","","1175","1181","1176","HM00108598_01787","HM00110618_01159","HL2074_01385","YA00082404_01002","EGD-e_00554"
"menG_2","","2-phytyl-1,4-naphtoquinone methyltransferase","5","5","1","1","914","","","","830","830","830","HM00108598_01793","HM00110618_01165","HL2074_01391","YA00082404_01008","EGD-e_00548"
"group_527","","hypothetical protein","5","5","1","1","916","","","","2051","2051","2051","HM00108598_01795","HM00110618_01167","HL2074_01393","YA00082404_01010","EGD-e_00546"
"group_528","","hypothetical protein","5","5","1","1","918","","","","1496","1496","1496","HM00108598_01797","HM00110618_01169","HL2074_01395","YA00082404_01012","EGD-e_00544"
"group_529","","hypothetical protein","5","5","1","1","920","","","","1475","1475","1475","HM00108598_01798","HM00110618_01170","HL2074_01396","YA00082404_01013","EGD-e_00543"
"comGA","","ComG operon protein 1","5","5","1","1","1994","","","","1022","1022","1022","HM00108598_01709","HM00110618_01235","HL2074_00583","YA00082404_01323","EGD-e_01375"
"group_530","","hypothetical protein","5","5","1","1","926","","","","1004","1004","1004","HM00108598_01804","HM00110618_01176","HL2074_01403","YA00082404_01019","EGD-e_00536"
"group_531","","hypothetical protein","5","5","1","1","933","","","","1430","1430","1430","HM00108598_01808","HM00110618_01180","HL2074_01410","YA00082404_01023","EGD-e_00532"
"group_532","","hypothetical protein","5","5","1","1","936","","","","458","458","458","HM00108598_01811","HM00110618_01764","HL2074_01413","YA00082404_01026","EGD-e_00529"
"group_533","","hypothetical protein","5","5","1","1","937","","","","362","362","362","HM00108598_01812","HM00110618_01765","HL2074_01414","YA00082404_01027","EGD-e_00528"
"group_534","","hypothetical protein","5","5","1","1","938","","","","680","680","680","HM00108598_01813","HM00110618_01766","HL2074_01415","YA00082404_01028","EGD-e_00527"
"group_535","","hypothetical protein","5","5","1","1","939","","","","578","578","578","HM00108598_01814","HM00110618_01767","HL2074_01416","YA00082404_01029","EGD-e_00526"
"gatB_1","","PTS system galactitol-specific EIIB component","5","5","1","1","942","","","","293","293","293","HM00108598_01817","HM00110618_01770","HL2074_01419","YA00082404_01032","EGD-e_00523"
"rpe_4","","Ribulose-phosphate 3-epimerase","5","5","1","1","950","","","","668","668","668","HM00108598_01825","HM00110618_01778","HL2074_01427","YA00082404_01040","EGD-e_00515"
"rpiB_2","","Ribose-5-phosphate isomerase B","5","5","1","1","951","","","","449","449","449","HM00108598_01826","HM00110618_01779","HL2074_01428","YA00082404_01041","EGD-e_00514"
"axe2","","Acetylxylan esterase","5","5","1","1","954","","","","593","593","593","HM00108598_01829","HM00110618_01782","HL2074_01432","YA00082404_01044","EGD-e_00510"
"group_54","","hypothetical protein","5","5","1","1","1999","","","","272","272","272","HM00108598_01714","HM00110618_01230","HL2074_00578","YA00082404_01318","EGD-e_01380"
"aroD","","3-dehydroquinate dehydratase","5","5","1","1","957","","","","758","758","758","HM00108598_01832","HM00110618_01785","HL2074_01435","YA00082404_01047","EGD-e_00507"
"group_541","","hypothetical protein","5","5","1","1","963","","","","575","575","575","HM00108598_01838","HM00110618_01791","HL2074_01441","YA00082404_01053","EGD-e_00501"
"group_542","","hypothetical protein","5","5","1","1","973","","","","560","560","560","HM00108598_01846","HM00110618_01799","HL2074_01446","YA00082404_01061","EGD-e_00496"
"group_543","","hypothetical protein","5","5","1","1","977","","","","242","242","242","HM00108598_01850","HM00110618_01803","HL2074_01449","YA00082404_01065","EGD-e_00491"
"group_546","","hypothetical protein","5","5","1","1","1906","","","","938","938","938","HM00108598_01857","HM00110618_02409","HL2074_00664","YA00082404_02651","EGD-e_01294"
"sipV","","Signal peptidase I V","5","5","1","1","1910","","","","569","569","569","HM00108598_01861","HM00110618_02405","HL2074_00660","YA00082404_02655","EGD-e_01298"
"group_548","","1,4-dihydroxy-2-naphthoyl-CoA hydrolase","5","5","1","1","1921","","","","419","419","419","HM00108598_01872","HM00110618_02394","HL2074_00649","YA00082404_02666","EGD-e_01309"
"lacX","","Protein LacX, plasmid","5","5","1","1","1923","","","","872","872","872","HM00108598_01874","HM00110618_02392","HL2074_00647","YA00082404_02668","EGD-e_01311"
"yccU","","putative protein YccU","5","5","1","1","1925","","","","407","407","407","HM00108598_01876","HM00110618_02390","HL2074_00645","YA00082404_02670","EGD-e_01313"
"oatA","","O-acetyltransferase OatA","5","5","1","1","1931","","","","1868","1886","1878","HM00108598_01881","HM00110618_02544","HL2074_00639","YA00082404_02865","EGD-e_01319"
"glpQ","","Glycerophosphodiester phosphodiesterase","5","5","1","1","1932","","","","698","698","698","HM00108598_01882","HM00110618_02543","HL2074_00638","YA00082404_02864","EGD-e_01320"
"hflX_2","","GTPase HflX","5","5","1","1","1937","","","","1223","1223","1223","HM00108598_01886","HM00110618_02539","HL2074_00634","YA00082404_02860","EGD-e_01324"
"group_555","","hypothetical protein","5","5","1","1","1958","","","","374","374","374","HM00108598_01901","HM00110618_02386","HL2074_00618","YA00082404_02845","EGD-e_01340"
"polC","","DNA polymerase III PolC-type","5","5","1","1","1966","","","","4334","4424","4388","HM00108598_01909","HM00110618_02378","HL2074_00610","YA00082404_01350","EGD-e_01348"
"group_557","","hypothetical protein","5","5","1","1","1969","","","","284","284","284","HM00108598_01912","HM00110618_02375","HL2074_00607","YA00082404_01347","EGD-e_01351"
"group_558","","hypothetical protein","5","5","1","1","1972","","","","278","278","278","HM00108598_01915","HM00110618_02372","HL2074_00604","YA00082404_01344","EGD-e_01354"
